MeanIP,StdIP,EkIP,SkIP,MeanDM.SNR,StdDM.SNR,EkDM.SNR,SkDM.SNR,PULSAR
102.5078125,58.88243001,0.465318154,-0.515087909,1.677257525,14.86014572,10.57648674,127.3935796,0
130.3828125,39.84405561,-0.158322759,0.389540448,1.220735786,14.37894124,13.53945602,198.2364565,0
107.2578125,39.49648839,0.465881961,1.162877124,4.079431438,24.98041798,7.397079948,57.78473789,0
133.2578125,44.05824378,-0.081059862,0.115361506,1.632107023,12.00780568,11.97206663,195.5434476,0
134.9609375,49.55432662,-0.135303833,-0.080469602,10.69648829,41.34204361,3.893934139,14.13120625,0
138.1796875,51.5244835,-0.031852329,0.046797173,6.330267559,31.57634673,5.155939859,26.14331017,0
100.8515625,51.74352161,0.393836792,-0.011240741,2.841137124,21.63577754,8.302241891,71.58436903,0
106.6484375,56.36718209,0.378355072,-0.266371607,2.43645485,18.40537062,9.378659682,96.86022536,0
130.8515625,52.43285734,0.142596727,0.018885442,2.64632107,15.65443599,9.464164025,115.6731586,0
102.6171875,49.69235371,0.230438984,0.193325371,1.489130435,16.00441146,12.64653474,171.8329021,0
121.1328125,47.6326062,0.177360308,0.024918111,2.151337793,20.55243738,9.920468181,99.74707919,0
108.0390625,34.91024257,0.321156562,1.821631493,3.899665552,23.72205203,7.506209958,60.88691267,0
116.203125,47.34586165,0.211946824,-0.022177703,3.606187291,18.94498977,7.035644684,59.23122572,0
106.3359375,45.05002035,0.418645099,0.603995884,1.200668896,12.38856143,13.30645184,209.41199,0
134.0390625,51.80045885,-0.195844789,-0.396816077,1.107859532,13.23858397,13.77580037,208.4202575,0
112.859375,55.10625168,0.174766173,-0.404019163,3.032608696,19.69431374,7.266252257,58.03777067,0
108.625,52.74614915,0.453556415,0.069731528,2.304347826,16.18365586,9.780440566,114.9993838,0
113.953125,49.2214161,0.234723211,0.289792216,1.081103679,13.48209307,14.25608113,216.8362204,0
141.96875,50.47089779,0.244974491,-0.342664657,2.823578595,16.23818776,8.207743613,85.53258352,0
83.6796875,36.37928102,0.572531753,2.66461052,4.0409699,23.16912864,7.006681423,53.51400467,0
126.8671875,53.1293191,0.13633915,-0.588709439,1.149665552,13.96514443,13.23049959,186.2685104,0
119.8984375,53.82550508,0.143378486,-0.528427658,4.04180602,24.57913147,6.581293412,44.89951492,0
119.4453125,53.14305702,0.012830273,-0.378955989,2.932274247,17.9297569,8.289888515,81.34651657,0
136.7421875,44.39123754,-0.22192524,0.908084632,2.105351171,14.49837742,10.13157115,128.3951486,0
124.5,57.35361802,-0.014849043,-0.550963937,4.783444816,27.50164045,6.090448645,37.81809112,0
112.125,46.30840906,0.721646098,0.612454163,1.173076923,11.04918969,14.6307442,273.2509626,0
132.140625,42.09582342,0.143191723,0.876730035,1.863712375,13.26595667,10.25798651,140.0407088,0
112.4375,38.2956733,0.501943444,1.07484029,2.81270903,18.13688307,7.859968426,71.29944944,0
94.5859375,35.77982308,1.187308683,3.68746932,6.071070234,29.76039993,5.318766827,28.69804799,1
70.0234375,35.28067478,1.157657193,4.546692371,3.003344482,19.57538355,7.954436097,71.96015886,0
96.6796875,41.39952702,0.586678289,0.820224746,2.044314381,17.27702312,9.450599023,97.26764676,0
140.7890625,39.5898212,0.055105883,0.881112657,2.504180602,16.62645319,8.517333044,85.71086477,0
94.078125,43.12982027,0.332038232,0.808409927,5.234113712,27.28130505,5.642595986,32.92813083,0
143.8984375,48.16748771,-0.20183785,-0.100719016,3.826086957,26.25845661,7.193332526,52.72924212,0
86.5625,38.67225063,0.580635737,2.591600394,5.989966555,29.64787606,5.325813648,28.9446805,0
126.3984375,60.41824795,0.048076948,-0.814893479,66.54765886,85.32276063,0.750702317,-1.037197008,0
99.4921875,41.25511258,0.33931681,0.874420009,4.846153846,29.47105734,6.477662421,42.36337684,0
44.8671875,45.69333429,2.888739412,8.810672554,176.1195652,59.73772038,-1.785376578,2.940913427,1
120.8125,45.16181843,0.451277319,0.314943674,2.459866221,19.13626269,9.073114935,90.11590515,0
131.90625,53.77040855,0.219247987,-0.188834594,2.699832776,14.73072801,8.336997625,97.53171305,0
93.203125,39.42365236,0.607771238,1.659607875,1.671404682,15.25578628,11.91119641,163.4059665,0
107.40625,58.50486592,0.100292261,-0.900060229,18.4590301,53.85715183,2.794208117,6.361790342,0
104.8046875,47.79236645,0.328691864,0.083438105,0.763377926,10.0823547,18.49321311,401.3006212,0
130.484375,45.63321576,0.141510594,0.231174139,2.972408027,18.30926464,7.532465375,66.00795795,0
84.2734375,38.39997454,0.662578662,1.778425245,2.984113712,16.69029062,8.407608491,86.91303647,0
133.3671875,56.54462716,0.032098564,-0.481222279,2.757525084,18.03943289,9.191633022,99.69278934,0
134.890625,55.07781915,-0.139759422,-0.628622776,3.284280936,17.98195269,8.347579405,88.10811859,0
110.6953125,42.2902099,-0.017400862,0.701464381,1.16722408,15.16780594,13.76584457,194.6408589,0
48.2421875,36.49202526,2.935560303,10.88874578,41.5041806,62.89781076,1.472488674,1.305269046,1
82.8828125,39.13131361,0.779404515,2.205462374,0.988294314,13.81288708,15.17524002,240.0273283,0
93.6015625,34.55234703,0.703073859,3.038797852,2.193979933,18.76845795,9.199617063,88.63984058,0
144.75,42.04276097,-0.080527561,0.646575786,2.069397993,14.35454201,11.05503987,150.6634825,0
83.96875,32.78693945,0.972955394,4.940514989,1.638795987,11.93460301,12.15731657,199.3218792,0
142,48.80141519,-0.210519778,0.043318671,10.48494983,39.57310589,3.807679388,13.6645778,0
126.1015625,52.56734369,0.216219846,-0.347580724,23.09615385,53.59511551,2.296400156,4.183569225,0
133.046875,51.12238064,-0.145585798,-0.325246456,1.190635452,13.38429092,13.87196488,214.7984487,0
80.3359375,37.6984908,0.713377421,2.33490766,1.577759197,12.40009468,11.76194108,180.0012011,0
110.1953125,54.47549027,0.489785147,-0.031921393,19.28010033,56.00214376,2.875491226,6.861891535,1
135.3046875,46.05407124,-0.097731063,0.106727011,2.872073579,17.50789185,8.789589629,93.43310791,0
153.515625,44.32655531,-0.230928343,0.323604741,2.581103679,15.45186541,8.55801915,94.23542635,0
11.8203125,37.25826955,5.340501841,28.65597499,146.7257525,75.39944935,-0.29078496,-1.219306736,1
114.40625,43.91565736,0.056368404,0.576339802,3.408862876,19.6887373,7.148087277,58.75898172,0
117.984375,46.72007471,0.286562981,0.227632281,8.611204013,34.76781815,4.279058032,18.12586943,0
59.4296875,45.39250413,2.175946915,5.660024859,16.4590301,47.31947735,3.084529416,8.940259466,1
88.25,39.04604653,0.57152249,1.47049275,4.650501672,25.66972355,6.217865152,40.9873884,0
125.640625,47.6318457,-0.06204993,0.062924147,2.7909699,16.72779671,7.731253516,74.10457001,0
94.0234375,38.20697434,0.487858357,1.312127246,1.610367893,13.73258799,11.24840725,150.1956715,0
88.4375,37.81177685,0.689215581,2.035293755,2.415551839,18.02795281,8.828613361,86.79989428,1
107.5078125,45.57462906,0.377712608,0.614655841,1.469063545,14.84270525,11.92974816,156.2173396,0
115.125,53.53547305,0.335892131,-0.12557555,4.634615385,24.65869576,6.563250812,46.8314903,0
120.8671875,51.9515055,0.305890007,0.036700866,1.79180602,14.59787517,12.00652401,167.6265639,0
93.25,34.98950736,0.783981208,3.03771548,2.067725753,17.13592898,9.422644494,96.80477764,0
127.1875,46.43640645,-0.26180354,0.282146933,3.073578595,17.18295037,8.019439061,78.35186627,0
128.4296875,57.05612418,0.024647011,-0.608839142,2.018394649,17.54172273,10.01713233,107.6601567,0
123.0390625,52.97425707,0.123674105,-0.42398648,27.0041806,68.75577798,2.302242486,3.579374471,0
117.7109375,54.54787925,0.217564807,-0.033715544,1.404682274,13.86714717,12.26836746,173.5870656,0
96.28125,40.43376866,0.518182208,1.5845367910000001,2.0409699,12.95654535,10.75799587,155.2134131,0
142.8203125,39.85137105,-0.075277319,0.751309607,2.294314381,13.83516197,9.195981017,117.0205517,0
130.8046875,45.93610688,-0.02122311,-0.118586736,3.893812709,19.92241461,6.895456365,55.96095373,0
115.1484375,51.38337673,0.082812092,-0.56928112,1.648829431,11.33462259,12.67379972,229.5430289,0
104.5,46.78140656,0.610510735,0.665676813,1.9590301,13.70432494,10.42852777,139.6713668,0
98.390625,38.09060628,0.181846828,1.328352909,2.64632107,15.26245842,8.322596611,90.98396033,0
110.3046875,40.89345122,0.062788888,0.462445075,4.39548495,23.00436078,6.869967636,53.53843277,0
131.2734375,50.45538172,0.024921179,0.195920133,1.496655518,15.69624358,11.9715492,156.1260881,0
112.3671875,52.9493967,0.087102706,-0.160978938,4.627926421,21.41635021,5.797639069,40.05582145,0
135.46875,47.36690853,0.111350814,-0.05506863,4.212374582,25.05846103,6.854449719,49.36971326,0
104.578125,54.35884952,0.252295974,-0.319441844,3.532608696,18.51736346,7.170142749,63.89881081,0
107.0078125,46.76378408,0.364621738,0.128158035,2.602006689,20.5954535,8.635317148,77.8080129,0
118.5703125,46.54663045,0.030306021,-0.058225497,4.846153846,25.8156199,6.290889126,42.01990703,0
